device_name,english_phrase,service_name,english_phrase_vi
blinds.kitchen,Could you raise the kitchen blinds,open,Bạn có thể nâng rèm bếp không
blinds.kitchen,Lower the kitchen blinds,close,Hạ thấp rèm nhà bếp
blinds.kitchen,Stop the kitchen blinds where they are,stop,Dừng rèm nhà bếp nơi họ đang ở
blinds.living_room,Close the living room blinds,close,Đóng rèm phòng khách
blinds.living_room,Open the living room blinds,open,Mở rèm phòng khách
blinds.living_room,Stop adjusting the living room blinds,stop,Ngừng điều chỉnh rèm phòng khách
blinds.master_bedroom,Lift the master bedroom blinds,open,Nâng rèm phòng ngủ chính
blinds.master_bedroom,Please halt the master bedroom blinds,stop,Vui lòng tạm dừng rèm phòng ngủ chính
blinds.master_bedroom,Shut the master bedroom blinds,close,Tắt rèm phòng ngủ chính
garage_door.basement,Please raise the basement garage door,open,Vui lòng nâng cửa nhà để xe tầng hầm
garage_door.bike_storage,Activate the bike storage garage,open,Kích hoạt nhà để xe lưu trữ xe đạp
garage_door.bike_storage,Deactivate the bike storage garage,close,Vô hiệu hóa nhà để xe lưu trữ xe đạp
garage_door.main,Close the main garage door,close,Đóng cửa nhà để xe chính
garage_door.main,Open the main garage door,open,Mở cửa nhà để xe chính
garage_door.main,Stop the main garage door,stop,Dừng cửa nhà để xe chính
garage_door.one_car,Make sure the one car garage is closed,close,Đảm bảo rằng một nhà để xe được đóng lại
garage_door.side,Could you lift the side garage door,open,Bạn có thể nâng cửa nhà để xe bên
garage_door.side,Halt the side garage door,stop,Dừng cửa nhà để xe bên
garage_door.side,Lower the side garage door,close,Hạ cửa nhà để xe bên
garage_door.two_car,Open the two car garage,open,Mở hai gara ô tô
light.bathroom_1,Could you illuminate the bathroom,turn_on,Bạn có thể chiếu sáng phòng tắm
light.bathroom_1,Please extinguish the bathroom light,turn_off,Vui lòng dập tắt đèn phòng tắm
light.bathroom,Activate the bathroom light,turn_on,Kích hoạt đèn phòng tắm
light.bathroom,Switch off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bathroom,Turn off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bathroom,Turn off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bathroom,Turn off the bathroom light,turn_off,Tắt đèn phòng tắm
light.bedroom_1,Activate the bedroom light,turn_on,Kích hoạt đèn phòng ngủ
light.bedroom_1,Deactivate the bedroom light,turn_off,Vô hiệu hóa đèn phòng ngủ
light.bedroom_2,Switch off the bedroom light,turn_off,Tắt đèn phòng ngủ
light.dining_room_1,Activate the lights in the dining room,turn_on,Kích hoạt đèn trong phòng ăn
light.dining_room,Activate the dining room light,turn_on,Kích hoạt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Switch off the dining room light,turn_off,Tắt đèn phòng ăn
light.dining_room,Turn off the dining room light,turn_off,Tắt đèn phòng ăn
light.garden_1,Deactivate the garden light,turn_off,Vô hiệu hóa ánh sáng vườn
light.garden_1,Switch on the garden light,turn_on,Bật đèn vườn
light.garden_1,Turn on the garden light,turn_on,Bật đèn sân vườn
light.garden_2,Activate the garden light,turn_on,Kích hoạt đèn làm vườn
light.garden,Switch on the garden light,turn_on,Bật đèn vườn
light.hallway,Switch off the hallway light,turn_off,Tắt đèn hành lang
light.hallway,Turn off the hallway light,turn_off,Tắt đèn hành lang
light.hallway,Turn on the hallway light,turn_on,Bật đèn hành lang
light.kitchen_1,Switch on the kitchen lights,turn_on,Bật đèn nhà bếp
light.kitchen_1,Turn on the kitchen light,turn_on,Bật đèn nhà bếp
light.kitchen_2,Switch off the kitchen light,turn_off,Tắt đèn nhà bếp
light.kitchen_counter,Switch off the kitchen counter light,turn_off,Tắt đèn quầy bếp
light.kitchen_counter,Switch on the kitchen counter light,turn_on,Bật đèn quầy bếp
light.living_room_1,Switch off the living room light,turn_off,Tắt đèn phòng khách
light.living_room,Turn off the living room light,turn_off,Tắt đèn phòng khách
light.living_room,Turn on the living room light,turn_on,Bật đèn phòng khách
light.master_bedroom_1,Deactivate the master bedroom light,turn_off,Vô hiệu hóa đèn phòng ngủ chính
light.master_bedroom_1,Please activate the master bedroom light,turn_on,Vui lòng kích hoạt đèn phòng ngủ chính
light.office_1,Enable the office light,turn_on,Bật đèn văn phòng
light.office,Deactivate the office light,turn_off,Vô hiệu hóa đèn văn phòng
light.study,Activate the study light,turn_on,Kích hoạt ánh sáng nghiên cứu
light.study,Turn off the study light,turn_off,Tắt đèn học tập
light.study,Turn off the study light,turn_off,Tắt đèn học tập
light.dining_room_chandelier,Turn on the dining room light,turn_on,Bật đèn phòng ăn
light.chandelier_front_hallway,Hey can you turn on the front hallway chandelier,turn_on,"Này, bạn có thể bật đèn chùm hành lang phía trước không"
lock.back_door,Could you disengage the back door lock,unlock,Bạn có thể thảnh thơi khóa cửa sau không
lock.back_door,Engage the back door lock,lock,Tham gia khóa cửa sau
lock.bike_storage,Disengage the lock on the bike storage,unlock,Giải phóng khóa trên bộ lưu trữ xe đạp
lock.front_door,Lock the front door,lock,Khóa cửa trước
lock.front_door,Unlock the front door,unlock,Mở khóa cửa trước
lock.tool_shed,Unlock the tool shed,unlock,Mở khóa công cụ đổ
lock.front_door,Please lock the front door.,lock,Vui lòng khóa cửa trước.
lock.back_door,Can you unlock the back door?,unlock,Bạn có thể mở khóa cửa sau không?
lock.garage_door,I need the garage door locked.,lock,Tôi cần cửa nhà để xe bị khóa.
lock.patio_door,"Unlock the patio door, please.",unlock,Vui lòng mở khóa cửa hiên.
lock.main_gate,Ensure the main gate is locked.,lock,Đảm bảo cổng chính bị khóa.
lock.kitchen_window,Open the lock on the kitchen window.,unlock,Mở khóa trên cửa sổ nhà bếp.
lock.bedroom_window,Bedroom window needs to be unlocked.,unlock,Cửa sổ phòng ngủ cần được mở khóa.
lock.bathroom_window,Could you unlock the bathroom window?,unlock,Bạn có thể mở khóa cửa sổ phòng tắm không?
lock.garden_gate,Please secure the garden gate.,lock,Vui lòng bảo vệ cổng vườn.
lock.rooftop_door,Open the rooftop door lock.,unlock,Mở khóa cửa trên sân thượng.
lock.cellar_door,Cellar door should be locked now.,lock,Cửa hầm nên được khóa ngay bây giờ.
lock.pool_gate,I'd like the pool gate unlocked.,unlock,Tôi muốn mở khóa cổng hồ bơi.
lock.shed_door,Ensure the shed door is securely locked.,lock,Đảm bảo cửa đổ được khóa an toàn.
lock.balcony_door,Unlock the balcony door for me.,unlock,Mở khóa cửa ban công cho tôi.
lock.laundry_room_door,Can you lock the laundry room door?,lock,Bạn có thể khóa cửa phòng giặt không?
lock.guest_room_door,Please lock the guest room door.,lock,Vui lòng khóa cửa phòng khách.
lock.side_entrance,Unlock our side entrance.,unlock,Mở khóa lối vào bên của chúng tôi.
lock.fence_gate,Make sure the fence gate is locked.,lock,Hãy chắc chắn rằng cổng hàng rào bị khóa.
lock.garage_side_door,Garage side door should be unlocked.,unlock,Cửa bên nhà để xe nên được mở khóa.
lock.attic_door,Attic door needs locking.,lock,Cửa gác mái cần khóa.
lock.storage_room_door,Please lock the storage room door.,lock,Vui lòng khóa cửa phòng lưu trữ.
lock.backyard_gate,Can we have the backyard gate unlocked?,unlock,Chúng ta có thể mở khóa cổng sân sau không?
lock.front_porch_door,Lock the front porch door.,lock,Khóa cửa hiên trước.
lock.back_terrace_door,Open the lock on the back terrace door.,unlock,Mở khóa trên cửa sân thượng phía sau.
lock.sunroom_door,Please unlock the sunroom door.,unlock,Vui lòng mở khóa cửa phòng tắm nắng.
lock.playroom_door,Can you unlock the playroom door?,unlock,Bạn có thể mở khóa cửa phòng chơi không?
lock.music_room,"Unlock the music room, please.",unlock,Vui lòng mở khóa phòng âm nhạc.
lock.cinema_room,Cinema room needs to be unlocked.,unlock,Phòng điện ảnh cần được mở khóa.
lock.library_door,Please lock the library door.,lock,Vui lòng khóa cửa thư viện.
media_player.kitchen,Could you start the media in the kitchen,turn_on,Bạn có thể bắt đầu các phương tiện truyền thông trong bếp không
media_player.kitchen,Play the previous track in the kitchen,media_previous_track,Chơi bài hát trước trong nhà bếp
media_player.kitchen,Please raise the volume in the kitchen,volume_up,Vui lòng nâng khối lượng trong nhà bếp
media_player.living_room,Activate the media in the living room,turn_on,Kích hoạt phương tiện truyền thông trong phòng khách
media_player.living_room,Mute the media player in the living room,volume_mute,Tắt tiếng người chơi truyền thông trong phòng khách
media_player.living_room,Skip to the next track in the living room,media_next_track,Bỏ qua đường đua tiếp theo trong phòng khách
media_player.living_room,Turn up the volume in the living room,volume_up,Bật âm lượng trong phòng khách
media_player.master_bedroom,Can you increase the volume on the master bedroom media player,volume_up,Bạn có thể tăng âm lượng trên trình phát phương tiện phòng ngủ chính không
media_player.master_bedroom,Pause the media in the master bedroom,media_pause,Tạm dừng phương tiện truyền thông trong phòng ngủ chính
media_player.master_bedroom,Turn on the master bedroom media player,turn_on,Bật trình phát phương tiện phòng ngủ chính
media_player.nursery,Please play the media in the nursery,media_play,Vui lòng chơi các phương tiện truyền thông trong vườn ươm
media_player.nursery,Stop the media in the nursery,media_stop,Dừng các phương tiện truyền thông trong vườn ươm
media_player.nursery,Turn down the volume in the nursery,volume_down,Từ chối âm lượng trong vườn ươm
media_player.office,Can you decrease the volume in the office,volume_down,Bạn có thể giảm âm lượng trong văn phòng không
media_player.living_room_tv,Please turn on the living room TV.,turn_on,Vui lòng bật TV phòng khách.
media_player.kitchen_radio,Switch off the kitchen radio.,turn_off,Tắt radio nhà bếp.
media_player.bedroom_speaker,Can you increase the volume in the bedroom?,volume_up,Bạn có thể tăng khối lượng trong phòng ngủ không?
media_player.office_sound_system,Lower the volume in the office.,volume_down,Hạ khối lượng trong văn phòng.
media_player.garage_stereo,Mute the stereo in the garage.,volume_mute,Tắt tiếng âm thanh nổi trong nhà để xe.
media_player.patio_speaker,Start playing music on the patio speaker.,media_play,Bắt đầu chơi nhạc trên loa hiên.
media_player.bathroom_audio,Pause the bathroom audio.,media_pause,Tạm dừng âm thanh phòng tắm.
media_player.guest_room_media,Stop the guest room media player.,media_stop,Dừng người chơi phương tiện phòng khách.
media_player.basement_home_theater,Skip to the next track in the basement.,media_next_track,Bỏ qua đường đua tiếp theo trong tầng hầm.
media_player.nursery_lullaby,Go back to the previous lullaby in the nursery.,media_previous_track,Quay trở lại những bài hát ru trước đó trong vườn ươm.
media_player.deck_music_system,Turn on the deck's music system.,turn_on,Bật hệ thống âm nhạc của bộ bài.
media_player.lounge_entertainment,Switch off the lounge entertainment center.,turn_off,Tắt Trung tâm giải trí phòng chờ.
media_player.dining_area_jukebox,Increase the jukebox volume in the dining area.,volume_up,Tăng khối lượng máy tự động trong khu vực ăn uống.
media_player.game_room_speakers,Turn down the game room speakers.,volume_down,Bỏ qua loa phòng trò chơi.
media_player.library_soundbar,Mute the soundbar in the library.,volume_mute,Tắt tiếng soundbar trong thư viện.
media_player.sunroom_stereo,Play the stereo in the sunroom.,media_play,Chơi âm thanh nổi trong phòng tắm nắng.
media_player.loft_tv,Pause the TV in the loft.,media_pause,Tạm dừng TV trên gác xép.
media_player.poolside_media,Stop the poolside media system.,media_stop,Dừng hệ thống truyền thông bên hồ bơi.
media_player.gym_music_player,Skip to the next song in the gym.,media_next_track,Bỏ qua bài hát tiếp theo trong phòng tập thể dục.
media_player.study_room_radio,Go back to the previous station in the study room.,media_previous_track,Quay trở lại nhà ga trước trong phòng học.
media_player.backyard_speakers,Turn on the backyard speakers.,turn_on,Bật loa sân sau.
media_player.entryway_echo,Turn off the Echo in the entryway.,turn_off,Tắt Echo ở lối vào.
media_player.rooftop_deck_audio,Raise the rooftop audio volume.,volume_up,Tăng âm lượng âm thanh trên mái nhà.
media_player.workshop_sound_system,Lower the sound system volume in the workshop.,volume_down,Hạ âm lượng hệ thống âm thanh trong hội thảo.
media_player.art_studio_player,Mute the media player in the art studio.,volume_mute,Mute The Media Player in the Art Studio.
media_player.kids_room_storyteller,Start the storyteller in the kids' room.,media_play,Bắt đầu người kể chuyện trong phòng trẻ em.
media_player.laundry_room_radio,Pause the radio in the laundry room.,media_pause,Tạm dừng radio trong phòng giặt.
media_player.balcony_speakers,Stop the balcony speakers.,media_stop,Dừng loa ban công.
media_player.yoga_room_music,Next track for the yoga room music.,media_next_track,Ca khúc tiếp theo cho nhạc phòng yoga.
media_player.conservatory_cd_player,Previous track on the conservatory CD player.,media_previous_track,Theo dõi trước đây về trình phát CD Nhạc viện.
media_player.foyer_sound_system,Power on the foyer sound system.,turn_on,Sức mạnh trên hệ thống âm thanh sảnh.
media_player.wine_cellar_speakers,Power off the speakers in the wine cellar.,turn_off,Sức mạnh từ các loa trong hầm rượu.
media_player.greenhouse_radio,Increase the greenhouse radio volume.,volume_up,Tăng khối lượng radio nhà kính.
media_player.attic_audio_system,Decrease attic audio system volume.,volume_down,Giảm khối lượng hệ thống âm thanh Attic.
media_player.boathouse_stereo,Mute the stereo in the boathouse.,volume_mute,Tắt tiếng âm thanh nổi trong Boathouse.
media_player.cellar_jukebox,Play the jukebox in the cellar.,media_play,Chơi máy tự động trong hầm.
media_player.corridor_intercom,Pause the corridor intercom.,media_pause,Tạm dừng liên lạc hành lang.
