service_name,device_name,english_phrase,english_phrase_vi
blinds.close,kitchen,Lower the kitchen blinds,Hạ thấp rèm nhà bếp
blinds.close,living_room,Close the living room blinds,Đóng rèm phòng khách
blinds.close,master_bedroom,Shut the master bedroom blinds,Tắt rèm phòng ngủ chính
blinds.open,kitchen,Could you raise the kitchen blinds,Bạn có thể nâng rèm bếp không
blinds.open,living_room,Open the living room blinds,Mở rèm phòng khách
blinds.open,master_bedroom,Lift the master bedroom blinds,Nâng rèm phòng ngủ chính
blinds.stop,kitchen,Stop the kitchen blinds where they are,Dừng rèm nhà bếp nơi họ đang ở
blinds.stop,living_room,Stop adjusting the living room blinds,Ngừng điều chỉnh rèm phòng khách
blinds.stop,master_bedroom,Please halt the master bedroom blinds,Vui lòng tạm dừng rèm phòng ngủ chính
fan.decrease_speed,attic_1,Slow down the attic fan,Làm chậm quạt gác mái
fan.decrease_speed,attic_1,Turn down the attic fan,Từ chối quạt gác mái
fan.decrease_speed,attic,Slow down the fan in the attic,Làm chậm quạt trên gác mái
fan.decrease_speed,bedroom_master,Slow down the master bedroom fan,Làm chậm quạt phòng ngủ chính
fan.decrease_speed,garage,Turn down the fan in the garage,Từ chối quạt trong nhà để xe
fan.decrease_speed,guest_room,Decrease the fan speed in the guest room,Giảm tốc độ quạt trong phòng khách
fan.decrease_speed,hallway,Lower the fan speed in the hallway,Hạ tốc độ quạt trên hành lang
fan.decrease_speed,kitchen,Slow down the kitchen fan,Làm chậm quạt nhà bếp
fan.decrease_speed,kitchen,Turn down the kitchen fan,Lật quạt nhà bếp
fan.decrease_speed,living_room,Decrease the speed of the living room fan,Giảm tốc độ của quạt phòng khách
fan.decrease_speed,living_room,Turn down the living room fan,Lật quạt phòng khách
fan.decrease_speed,study,Reduce the fan speed in the study,Giảm tốc độ quạt trong nghiên cứu
fan.increase_speed,attic_1,Increase speed of the attic fan,Tăng tốc độ của quạt gác mái
fan.increase_speed,attic,Accelerate the fan in the attic,Tăng tốc quạt trên gác mái
fan.increase_speed,bedroom_master,Ramp up the master bedroom fan speed,Tăng tốc độ quạt phòng ngủ chính
fan.increase_speed,garage,Turn up the fan in the garage,Bật quạt trong nhà để xe
fan.increase_speed,guest_room,Increase the fan speed in the guest room,Tăng tốc độ quạt trong phòng khách
fan.increase_speed,hallway,Boost the fan speed in the hallway,Tăng tốc độ quạt ở hành lang
fan.increase_speed,living_room,Increase the speed of the living room fan,Tăng tốc độ của quạt phòng khách
fan.increase_speed,study,Ramp up the fan speed in the study,Tăng tốc độ quạt trong nghiên cứu
fan.turn_off,attic_1,Disable the attic fan,Tắt quạt Attic
fan.turn_off,bedroom_master,Deactivate the master bedroom fan,Vô hiệu hóa quạt phòng ngủ chính
fan.turn_off,dining_area,Please switch off the dining area fan,Vui lòng tắt quạt khu vực ăn uống
fan.turn_off,dining_room,Switch off the dining room fan,Tắt quạt phòng ăn
fan.turn_off,garage,Shut down the garage fan,Tắt máy quạt nhà để xe
fan.turn_off,garage,Switch off the garage fan,Tắt quạt nhà để xe
fan.turn_off,guest_room,Switch off the guest room fan,Tắt quạt phòng khách
fan.turn_off,kitchen,Switch off the kitchen fan,Tắt quạt nhà bếp
fan.turn_off,living_room,Turn off the living room fan,Tắt người hâm mộ phòng khách
fan.turn_off,office,Could you disable the office fan,Bạn có thể vô hiệu hóa quạt văn phòng không
fan.turn_off,office,Turn off the office fan,Tắt quạt văn phòng
fan.turn_off,patio,Turn off the patio fan,Tắt người hâm mộ hiên
fan.turn_off,study,Switch off the study fan,Tắt quạt học
fan.turn_off,study,Turn off the study fan,Tắt quạt học
fan.turn_on,bathroom,Activate the bathroom fan,Kích hoạt quạt phòng tắm
fan.turn_on,bathroom,Turn on the bathroom fan,Bật quạt phòng tắm
fan.turn_on,bedroom_master,Activate the master bedroom fan,Kích hoạt quạt phòng ngủ chính
fan.turn_on,dining_area,Please switch on the dining area fan,Vui lòng bật quạt khu vực ăn uống
fan.turn_on,garage,Turn on the garage fan,Bật quạt nhà để xe
fan.turn_on,hallway,Enable the hallway fan,Bật quạt hành lang
