service,response,language,persona,short,response_vi
blinds.open,Opening the blinds for you.,en,assistant,0,Mở rèm cho bạn.
blinds.open,I'll go ahead and open the blinds.,en,assistant,0,Tôi sẽ tiếp tục và mở rèm.
blinds.open,"Sure, opening the blinds now.",en,assistant,0,"Chắc chắn, mở rèm bây giờ."
blinds.close,Closing the blinds as you requested.,en,assistant,0,Đóng rèm như bạn yêu cầu.
blinds.close,I'll close the blinds for you.,en,assistant,0,Tôi sẽ đóng rèm cho bạn.
blinds.close,"Sure, closing the blinds.",en,assistant,0,"Chắc chắn, đóng rèm."
blinds.stop,Stopping the blinds now.,en,assistant,0,Dừng rèm bây giờ.
blinds.stop,I'll stop the blinds for you.,en,assistant,0,Tôi sẽ dừng rèm cho bạn.
blinds.stop,"Sure, halting the blinds movement.",en,assistant,0,"Chắc chắn, tạm dừng phong trào rèm."
blinds.toggle,Toggling the blinds state for you.,en,assistant,0,Chuyển đổi trạng thái rèm cho bạn.
blinds.toggle,Switching the blinds' state now.,en,assistant,0,Chuyển đổi trạng thái của rèm bây giờ.
blinds.toggle,I'll toggle the blinds for you.,en,assistant,0,Tôi sẽ chuyển đổi rèm cho bạn.
blinds.open,Lifting <device_name> blinds as requested,en,assistant,0,Nâng <device_name> rèm theo yêu cầu
blinds.open,Opening <device_name> now,en,assistant,0,Mở <device_name> ngay bây giờ
blinds.open,Raising <device_name> for you,en,assistant,0,Tăng <device_name> cho bạn
blinds.stop,Freezing <device_name> position,en,assistant,0,Đóng băng __ph0__ vị trí
blinds.stop,Halting <device_name> now,en,assistant,0,Tạm dừng <device_name> bây giờ
blinds.stop,Stopping <device_name> operation,en,assistant,0,Dừng hoạt động <device_name>
blinds.open,Raising <device_name>,en,assistant,0,Nâng cao <device_name>
blinds.close,Closing <device_name> for you,en,assistant,0,Đóng <device_name> cho bạn
blinds.close,Lowering <device_name> now,en,assistant,0,Hạ thấp <device_name> ngay bây giờ
blinds.close,Shutting <device_name> as requested,en,assistant,0,Tắt <device_name> theo yêu cầu
blinds.close,Lowering <device_name>,en,assistant,0,Hạ thấp <device_name>
blinds.toggle,Flipping <device_name> state now,en,assistant,0,Lật __ph0__ trạng thái ngay bây giờ
blinds.toggle,Switching <device_name> state as requested,en,assistant,0,Chuyển đổi trạng thái <device_name> theo yêu cầu
blinds.toggle,Toggling <device_name> for you,en,assistant,0,Chuyển đổi <device_name> cho bạn
blinds.toggle,Toggling <device_name>,en,assistant,0,Chuyển đổi <device_name>
climate.set_humidity,Increasing humidity to <humidity>.,en,assistant,0,Tăng độ ẩm lên <humidity>.
climate.set_humidity,Setting humidity to <humidity> percent.,en,assistant,0,Đặt độ ẩm thành <humidity> phần trăm.
climate.set_humidity,Adjusting humidity to <humidity>%.,en,assistant,0,Điều chỉnh độ ẩm thành __PH0 __%.
climate.set_fan_mode,Setting the fan to <fan_mode> speed.,en,assistant,0,Đặt quạt thành <fan_mode> tốc độ.
climate.set_fan_mode,Putting the fan on <fan_mode>.,en,assistant,0,Đặt quạt trên <fan_mode>.
climate.set_fan_mode,Changing the fan to <fan_mode> setting.,en,assistant,0,Thay đổi quạt thành cài đặt <fan_mode>.
climate.set_hvac_mode,Switching to <hvac_mode> mode.,en,assistant,0,Chuyển sang chế độ <hvac_mode>.
climate.set_hvac_mode,Setting the HVAC to <hvac_mode>.,en,assistant,0,Đặt HVAC thành <hvac_mode>.
climate.set_hvac_mode,Changing HVAC to <hvac_mode> mode.,en,assistant,0,Thay đổi HVAC thành chế độ <hvac_mode>.
climate.set_temperature,Setting temperature to <temp_f> degrees.,en,assistant,0,Đặt nhiệt độ thành <temp_f> độ.
climate.set_temperature,Changing temperature to <temp_c> Celsius.,en,assistant,0,Thay đổi nhiệt độ thành <temp_c> celsius.
climate.set_temperature,Setting the room to <temp_f> degrees Fahrenheit.,en,assistant,0,Đặt phòng thành <temp_f> độ Fahrenheit.
climate.set_temperature,Adjusting temperature to <temp_f> degrees Fahrenheit.,en,assistant,0,Điều chỉnh nhiệt độ thành <temp_f> độ Fahrenheit.
climate.set_temperature,Setting the room to <temp_c> degrees Celsius for cooler temperature.,en,assistant,0,"Đặt phòng thành <temp_c> độ C, cho nhiệt độ mát hơn."
climate.set_temperature,"Making it warmer, setting temperature to <temp_f> degrees.",en,assistant,0,"Làm cho nó ấm hơn, đặt nhiệt độ thành <temp_f> độ."
climate.set_temperature,Lowering the temperature to <temp_c> Celsius.,en,assistant,0,Hạ nhiệt độ xuống <temp_c> celsius.
climate.set_temperature,Raising the temperature to <temp_f> degrees Fahrenheit.,en,assistant,0,Tăng nhiệt độ lên <temp_f> độ Fahrenheit.
fan.turn_on,Turning on the fan for you.,en,assistant,0,Bật quạt cho bạn.
fan.turn_on,I'll get the fan going for you.,en,assistant,0,Tôi sẽ đưa người hâm mộ đi cho bạn.
fan.turn_on,"Sure, turning on the fan now.",en,assistant,0,"Chắc chắn, bật quạt bây giờ."
fan.turn_off,Switching off the fan as requested.,en,assistant,0,Tắt quạt theo yêu cầu.
fan.turn_off,I'll turn off the fan for you.,en,assistant,0,Tôi sẽ tắt quạt cho bạn.
fan.turn_off,"Okay, turning off the fan.",en,assistant,0,"Được rồi, tắt quạt."
fan.toggle,I'll toggle the fan's state for you.,en,assistant,0,Tôi sẽ chuyển trạng thái của người hâm mộ cho bạn.
fan.toggle,Toggling the fan now.,en,assistant,0,Chuyển đổi quạt ngay bây giờ.
fan.toggle,Switching the fan's state for you.,en,assistant,0,Chuyển đổi trạng thái của người hâm mộ cho bạn.
fan.increase_speed,Increasing the fan speed for you.,en,assistant,0,Tăng tốc độ quạt cho bạn.
fan.increase_speed,"Sure, speeding up the fan now.",en,assistant,0,"Chắc chắn, tăng tốc cho quạt bây giờ."
fan.increase_speed,I'll go ahead and make the fan faster.,en,assistant,0,Tôi sẽ tiếp tục và làm cho người hâm mộ nhanh hơn.
fan.decrease_speed,Reducing the fan speed as you requested.,en,assistant,0,Giảm tốc độ quạt như bạn yêu cầu.
fan.decrease_speed,I'll slow down the fan for you.,en,assistant,0,Tôi sẽ làm chậm quạt cho bạn.
fan.decrease_speed,"Sure, decreasing the fan speed.",en,assistant,0,"Chắc chắn, giảm tốc độ quạt."
fan.toggle,Flipping <device_name> state for you,en,assistant,0,Lật __ph0__ trạng thái cho bạn
fan.toggle,Switching <device_name> state as requested,en,assistant,0,Chuyển đổi trạng thái <device_name> theo yêu cầu
fan.toggle,Toggling <device_name> now,en,assistant,0,Chuyển đổi <device_name> ngay bây giờ
fan.turn_on,Activating <device_name> now,en,assistant,0,Kích hoạt <device_name> ngay bây giờ
fan.turn_on,Starting <device_name> for you,en,assistant,0,Bắt đầu <device_name> cho bạn
fan.turn_on,"Certainly, starting <device_name>",en,assistant,0,"Chắc chắn, bắt đầu __ph0__"
fan.turn_on,Turning on <device_name>,en,assistant,0,Bật <device_name>
fan.turn_on,Starting <device_name>,en,assistant,0,Bắt đầu <device_name>
fan.turn_off,Deactivating <device_name> as requested,en,assistant,0,Vô hiệu hóa <device_name> theo yêu cầu
fan.turn_off,Stopping <device_name> for you,en,assistant,0,Dừng __ph0__ cho bạn
fan.turn_off,"Certainly, stopping <device_name>",en,assistant,0,"Chắc chắn, dừng <device_name>"
fan.turn_off,Turning off <device_name>,en,assistant,0,Tắt <device_name>
fan.decrease_speed,Reducing speed of <device_name>,en,assistant,0,Giảm tốc độ <device_name>
fan.decrease_speed,Lowering speed of <device_name> as requested,en,assistant,0,Giảm tốc độ <device_name> theo yêu cầu
fan.decrease_speed,Slowing down <device_name> for you,en,assistant,0,Làm chậm __ph0__ cho bạn
fan.increase_speed,Increasing speed of <device_name>,en,assistant,0,Tăng tốc độ <device_name>
fan.increase_speed,Ramping up <device_name> speed now,en,assistant,0,Tăng tốc __ph0__ tốc độ ngay bây giờ
fan.increase_speed,Speeding up <device_name> for you,en,assistant,0,Tăng tốc <device_name> cho bạn
fan.increase_speed,Increasing speed of <device_name>,en,assistant,0,Tăng tốc độ <device_name>
fan.decrease_speed,Reducing speed of <device_name>,en,assistant,0,Giảm tốc độ <device_name>
garage_door.open,Opening the garage door for you.,en,assistant,0,Mở cửa nhà để xe cho bạn.
garage_door.open,"Sure, I'll open the garage door.",en,assistant,0,"Chắc chắn, tôi sẽ mở cửa nhà để xe."
garage_door.open,I'll go ahead and open the garage door.,en,assistant,0,Tôi sẽ đi trước và mở cửa nhà để xe.
garage_door.close,Closing the garage door as requested.,en,assistant,0,Đóng cửa nhà để xe theo yêu cầu.
garage_door.close,I'll shut the garage door for you.,en,assistant,0,Tôi sẽ đóng cửa nhà để xe cho bạn.
garage_door.close,"Sure, closing the garage door.",en,assistant,0,"Chắc chắn, đóng cửa nhà để xe."
garage_door.stop,Stopping the garage door now.,en,assistant,0,Dừng cửa nhà để xe bây giờ.
garage_door.stop,I'll stop the garage door for you.,en,assistant,0,Tôi sẽ dừng cửa nhà để xe cho bạn.
garage_door.stop,"Sure, I'll halt the garage door movement.",en,assistant,0,"Chắc chắn, tôi sẽ tạm dừng chuyển động cửa nhà để xe."
garage_door.toggle,Toggling the garage door state for you.,en,assistant,0,Chuyển đổi trạng thái cửa nhà để xe cho bạn.
garage_door.toggle,I'll switch the garage door's state now.,en,assistant,0,Tôi sẽ chuyển trạng thái của cửa nhà để xe ngay bây giờ.
garage_door.toggle,Switching the garage door's state for you.,en,assistant,0,Chuyển đổi trạng thái của cửa nhà để xe cho bạn.
garage_door.open,Lifting <device_name> for you,en,assistant,0,Nâng __ph0__ cho bạn
garage_door.open,Opening <device_name> now,en,assistant,0,Mở <device_name> ngay bây giờ
garage_door.open,Raising <device_name> as requested,en,assistant,0,Tăng <device_name> theo yêu cầu
garage_door.stop,Freezing <device_name> position now,en,assistant,0,Đóng băng __ph0__ vị trí ngay bây giờ
garage_door.stop,"Certainly, halting <device_name>",en,assistant,0,"Chắc chắn, tạm dừng <device_name>"
garage_door.stop,Halting <device_name> operation,en,assistant,0,Tạm dừng <device_name> hoạt động
garage_door.open,Opening <device_name>,en,assistant,0,Mở đầu <device_name>
garage_door.stop,Stopping <device_name>,en,assistant,0,Dừng <device_name>
garage_door.close,Closing <device_name> now,en,assistant,0,Đóng <device_name> bây giờ
garage_door.close,Lowering <device_name> for you,en,assistant,0,Hạ thấp __ph0__ cho bạn
garage_door.close,Shutting <device_name> as requested,en,assistant,0,Tắt <device_name> theo yêu cầu
garage_door.close,Closing <device_name>,en,assistant,0,Đóng <device_name>
garage_door.toggle,Flipping <device_name> state now,en,assistant,0,Lật __ph0__ trạng thái ngay bây giờ
garage_door.toggle,Switching <device_name> state as requested,en,assistant,0,Chuyển đổi trạng thái <device_name> theo yêu cầu
garage_door.toggle,Toggling <device_name> for you,en,assistant,0,Chuyển đổi <device_name> cho bạn
garage_door.toggle,Toggling <device_name>,en,assistant,0,Chuyển đổi <device_name>
light.turn_on,Turning on the light for you.,en,assistant,0,Bật đèn cho bạn.
light.turn_on,"Sure, I'll turn on the light now.",en,assistant,0,"Chắc chắn, tôi sẽ bật đèn ngay bây giờ."
light.turn_on,I'll go ahead and turn the light on.,en,assistant,0,Tôi sẽ tiếp tục và bật đèn.
light.turn_off,Turning off the light as requested.,en,assistant,0,Tắt đèn theo yêu cầu.
light.turn_off,I'll switch off the light for you.,en,assistant,0,Tôi sẽ tắt đèn cho bạn.
light.turn_off,"Sure, turning off the light.",en,assistant,0,"Chắc chắn, tắt đèn."
light.toggle,Toggling the light for you.,en,assistant,0,Chuyển đổi ánh sáng cho bạn.
light.toggle,Switching the light's state now.,en,assistant,0,Chuyển đổi trạng thái của đèn ngay bây giờ.
light.toggle,I'll toggle the light for you.,en,assistant,0,Tôi sẽ chuyển ánh sáng cho bạn.
light.toggle,Flipping the <device_name> state,en,assistant,0,Lật trạng thái __ph0__
light.toggle,Switching <device_name> state as requested,en,assistant,0,Chuyển đổi trạng thái <device_name> theo yêu cầu
light.toggle,Toggling <device_name> for you,en,assistant,0,Chuyển đổi <device_name> cho bạn
light.toggle,Toggling <device_name>,en,assistant,0,Chuyển đổi <device_name>
light.turn_on,Activation of <device_name> in progress,en,assistant,0,Kích hoạt <device_name> đang diễn ra
light.turn_on,"Certainly, turning on <device_name> now",en,assistant,0,"Chắc chắn, bật __ph0__"
light.turn_on,Switching on <device_name> for you,en,assistant,0,Bật <device_name> cho bạn
light.turn_on,Turning on <device_name>,en,assistant,0,Bật <device_name>
light.turn_on,Activating <device_name>,en,assistant,0,Kích hoạt <device_name>
light.turn_on,Setting the brightness of <device_name> to <brightness>%.,en,assistant,0,Đặt độ sáng của <device_name> thành __PH1 __%.
light.turn_on,Dimming <device_name> to <brightness>% brightness.,en,assistant,0,Làm mờ <device_name> đến __PH1 __% độ sáng.
