device_type,state,english_phrase,assistant_response,english_phrase_vi,assistant_response_vi
light,on,Is the <device_name> on,The <device_name> is currently on,Là __ph0__ trên,<device_name> hiện đang ở
light,on,Can you tell me the status of the <device_name>,The <device_name> is on,Bạn có thể cho tôi biết trạng thái của <device_name>,<device_name> đang trên
light,off,What is the <device_name> doing,The <device_name> is off,__Ph0__ đang làm gì,<device_name> bị tắt
light,off,Is the <device_name> off,The <device_name> is currently off,Là __ph0__ tắt,<device_name> hiện đang tắt
fan,on,Is the <device_name> on,The <device_name> is currently on,Là __ph0__ trên,<device_name> hiện đang ở
fan,on,Can you check if the <device_name> is working,The <device_name> is on,Bạn có thể kiểm tra xem __ph0__ có hoạt động không,<device_name> đang trên
fan,off,Is the <device_name> off,The <device_name> is currently off,Là __ph0__ tắt,<device_name> hiện đang tắt
fan,off,What is the current status of the <device_name>,The <device_name> is off,Trạng thái hiện tại của <device_name> là gì,<device_name> bị tắt
garage_door,open,Is the <device_name> open,The <device_name> is currently open,__Ph0__ có mở không,<device_name> hiện đang mở
garage_door,open,Can you tell me if the <device_name> is open,The <device_name> is open,Bạn có thể cho tôi biết nếu __ph0__ mở được không,<device_name> đang mở
garage_door,closed,Is the <device_name> closed,The <device_name> is currently closed,__Ph0__ có đóng không,<device_name> hiện đang đóng cửa
garage_door,closed,What's the status of the <device_name>,The <device_name> is closed,Tình trạng của <device_name> là gì,<device_name> được đóng
garage_door,opening,Is the <device_name> opening,The <device_name> is currently opening,Là <device_name> mở đầu,<device_name> hiện đang mở
garage_door,opening,What is the <device_name> doing,The <device_name> is opening,__Ph0__ đang làm gì,<device_name> đang mở
garage_door,closing,Is the <device_name> closing,The <device_name> is currently closing,__Ph0__ có đóng không,<device_name> hiện đang đóng cửa
garage_door,closing,Can you tell me if the <device_name> is closing,The <device_name> is closing,Bạn có thể cho tôi biết nếu __ph0__ đang đóng,__Ph0__ đang đóng
blinds,open,Are the <device_name> open,The <device_name> are currently open,__Ph0__ có mở không,<device_name> hiện đang mở
blinds,open,What's the status of the <device_name>,The <device_name> are open,Tình trạng của <device_name> là gì,<device_name> được mở
blinds,closed,Are the <device_name> closed,The <device_name> are currently closed,__Ph0__ có đóng không,<device_name> hiện đang đóng cửa
blinds,closed,Can you check if the <device_name> are closed,The <device_name> are closed,Bạn có thể kiểm tra xem __ph0__ có bị đóng không,<device_name> được đóng lại
blinds,opening,Are the <device_name> opening,The <device_name> are currently opening,Là <device_name> mở đầu,<device_name> hiện đang mở
blinds,opening,What is the <device_name> doing,The <device_name> are opening,__Ph0__ đang làm gì,<device_name> đang mở
blinds,closing,Are the <device_name> closing,The <device_name> are currently closing,__Ph0__ có đóng không,<device_name> hiện đang đóng cửa
blinds,closing,What's the status of the <device_name>,The <device_name> are closing,Tình trạng của <device_name> là gì,<device_name> đang đóng
media_player,on,Is the <device_name> on,The <device_name> is currently on,Là __ph0__ trên,<device_name> hiện đang ở
media_player,on,What's the current status of the <device_name>,The <device_name> is on,Trạng thái hiện tại của <device_name>,<device_name> đang trên
media_player,off,Is the <device_name> off,The <device_name> is currently off,Là __ph0__ tắt,<device_name> hiện đang tắt
media_player,off,Can you tell me if the <device_name> is off,The <device_name> is off,Bạn có thể cho tôi biết nếu __ph0__ tắt,<device_name> bị tắt
media_player,idle,What's the <device_name> doing,The <device_name> is idle,__Ph0__ đang làm gì,<device_name> không hoạt động
media_player,idle,Is the <device_name> idle,The <device_name> is currently idle,Là __ph0__ nhàn rỗi,<device_name> hiện đang nhàn rỗi
media_player,playing,Is the <device_name> playing,The <device_name> is currently playing,__Ph0__ có chơi không,<device_name> hiện đang chơi
media_player,playing,Can you tell me if the <device_name> is playing,The <device_name> is playing,Bạn có thể cho tôi biết nếu __ph0__ đang chơi,<device_name> đang chơi
media_player,paused,What's the status of the <device_name>,The <device_name> is paused,Tình trạng của <device_name> là gì,__Ph0__ bị tạm dừng
media_player,paused,Is the <device_name> paused,The <device_name> is currently paused,__Ph0__ có bị tạm dừng không,<device_name> hiện đang bị tạm dừng
media_player,standby,What is the <device_name> doing,The <device_name> is in standby,__Ph0__ đang làm gì,<device_name> ở chế độ chờ
media_player,standby,Is the <device_name> in standby,The <device_name> is currently in standby,Là __ph0__ ở chế độ chờ,<device_name> hiện đang ở chế độ chờ
lock,unlocked,Is the <device_name> unlocked,The <device_name> is currently unlocked,__Ph0__ có được mở khóa không,<device_name> hiện đang được mở khóa
lock,unlocked,What's the status of the <device_name>,The <device_name> is unlocked,Tình trạng của <device_name> là gì,<device_name> được mở khóa
lock,locked,Is the <device_name> locked,The <device_name> is currently locked,__Ph0__ có bị khóa không,<device_name> hiện đang bị khóa
lock,locked,Can you tell me if the <device_name> is locked,The <device_name> is locked,Bạn có thể cho tôi biết nếu __ph0__ bị khóa,<device_name> bị khóa
lock,unlocking,What is the <device_name> doing,The <device_name> is unlocking,__Ph0__ đang làm gì,<device_name> đang mở khóa
lock,unlocking,Is the <device_name> unlocking,The <device_name> is currently unlocking,__Ph0__ mở khóa có phải không,<device_name> hiện đang mở khóa
lock,locking,Is the <device_name> locking,The <device_name> is currently locking,Là khóa <device_name>,<device_name> hiện đang khóa
lock,locking,What's the status of the <device_name>,The <device_name> is locking,Tình trạng của <device_name> là gì,__Ph0__ đang khóa
lock,jammed,What is the <device_name> doing,The <device_name> is jammed,__Ph0__ đang làm gì,__Ph0__ bị kẹt
lock,jammed,Is the <device_name> jammed,The <device_name> is currently jammed,Là __ph0__ bị kẹt,__Ph0__ hiện đang bị kẹt
light,on,Is the <device_name> active,The <device_name> is currently on,__Ph0__ có hoạt động không,<device_name> hiện đang ở
light,on,Is the <device_name> powered,The <device_name> is on,__Ph0__ có được cung cấp không,<device_name> đang trên
light,off,Is the <device_name> deactivated,The <device_name> is currently off,__Ph0__ có bị vô hiệu hóa không,<device_name> hiện đang tắt
fan,on,Is the <device_name> spinning,The <device_name> is currently on,__Ph0__ có quay vòng không,<device_name> hiện đang ở
fan,on,Is the <device_name> blowing air,The <device_name> is on,__Ph0__ có thổi không khí không,<device_name> đang trên
fan,off,Is the <device_name> idle,The <device_name> is currently off,Là __ph0__ nhàn rỗi,<device_name> hiện đang tắt
fan,off,Is the <device_name> still,The <device_name> is off,__Ph0__ vẫn chưa,<device_name> bị tắt
lock,unlocked,Is the <device_name> open,The <device_name> is currently unlocked,__Ph0__ có mở không,<device_name> hiện đang được mở khóa
lock,unlocked,Is the <device_name> unsecured,The <device_name> is unlocked,__Ph0__ không được bảo đảm,<device_name> được mở khóa
lock,locked,Is the <device_name> secure,The <device_name> is currently locked,__Ph0__ có an toàn không,<device_name> hiện đang bị khóa
lock,locked,Is the <device_name> sealed,The <device_name> is locked,__Ph0__ có được niêm phong không,<device_name> bị khóa
garage_door,open,Is the <device_name> unsealed,The <device_name> is currently open,__Ph0__ chưa được tiết lộ,<device_name> hiện đang mở
garage_door,closed,Is the <device_name> shut,The <device_name> is currently closed,__Ph0__ có đóng không,<device_name> hiện đang đóng cửa
blinds,open,Is the <device_name> pulled up,The <device_name> are currently open,__Ph0__ có bị kéo lên không,<device_name> hiện đang mở
blinds,closed,Is the <device_name> pulled down,The <device_name> are currently closed,__Ph0__ có bị kéo xuống không,<device_name> hiện đang đóng cửa
light,on,Is the <device_name> lit,The <device_name> is currently on,__Ph0__ có sáng không,<device_name> hiện đang ở
light,off,Is the <device_name> turned off,Yes <device_name> is off,__Ph0__ có bị tắt không,Có <device_name> bị tắt
light,on,Uh can you check if the <device_name> is on or something,The <device_name> is currently on,Uh bạn có thể kiểm tra xem __ph0__ có bật hay không,<device_name> hiện đang ở
light,off,Hey what's up with the <device_name> is it off,The <device_name> is currently off,"Này, có chuyện gì với __ph0__",<device_name> hiện đang tắt
fan,on,So is the <device_name> whirling away,The <device_name> is indeed on,__Ph0__ quay đi __ph0__,<device_name> thực sự là trên
fan,off,Any idea if the <device_name> is off,The <device_name> is currently off,Bất kỳ ý tưởng nào nếu __ph0__ tắt,<device_name> hiện đang tắt
lock,unlocked,Hey is the <device_name> unlocked or what,The <device_name> is currently unlocked,Này là __ph0__ được mở khóa hay sao,<device_name> hiện đang được mở khóa
lock,locked,Can you tell me if the <device_name> is all locked up,The <device_name> is indeed locked,Bạn có thể cho tôi biết nếu __ph0__ đều bị khóa,<device_name> thực sự bị khóa
garage_door,open,Hey did we leave the <device_name> open,Yes the <device_name> is currently open,"Này, chúng tôi đã để __ph0__ mở",Có __ph0__ hiện đang mở
garage_door,closed,Is the <device_name> actually closed,The <device_name> is indeed closed,__Ph0__ có thực sự đóng không,<device_name> thực sự đã đóng
blinds,open,Are the <device_name> up or what,The <device_name> are currently open,__Ph0__ lên hay sao,<device_name> hiện đang mở
blinds,closed,So did we lower the <device_name>,The <device_name> are indeed closed,Chúng ta cũng đã hạ thấp <device_name>,<device_name> thực sự đã đóng
light,on,Hey is the <device_name> shining,The <device_name> is currently on,Này là __ph0__ tỏa sáng,<device_name> hiện đang ở
light,off,Uh is the <device_name> off,The <device_name> is indeed off,Uh là __ph0__ tắt,<device_name> thực sự là tắt
fan,on,Can you confirm if the <device_name> is running,The <device_name> is currently on,Bạn có thể xác nhận nếu __ph0__ đang chạy,<device_name> hiện đang ở
fan,off,Is the <device_name> taking a break,The <device_name> is off at the moment,__Ph0__ có nghỉ không,<device_name> đang tắt vào lúc này
lock,unlocked,So is the <device_name> open,The <device_name> is currently unlocked,__Ph0__ mở ra cũng vậy,<device_name> hiện đang được mở khóa
lock,locked,Is the <device_name> bolted,The <device_name> is indeed locked,__Ph0__ có được bắt vít không,<device_name> thực sự bị khóa
light,on,Is the <device_name> off,Actually the <device_name> is currently on,Là __ph0__ tắt,Trên thực tế <device_name> hiện đang ở
light,off,Is the <device_name> on,No the <device_name> is off right now,Là __ph0__ trên,Không có __ph0__ ngay bây giờ
fan,on,Is the <device_name> off,Actually the <device_name> is on at the moment,Là __ph0__ tắt,"Trên thực tế, __ph0__ đang bật"
fan,off,Is the <device_name> blowing air,Sorry the <device_name> is currently off,__Ph0__ có thổi không khí không,Xin lỗi __ph0__ hiện đang tắt
lock,locked,Is the <device_name> unlocked,No the <device_name> is currently locked,__Ph0__ có được mở khóa không,Không có <device_name> hiện đang bị khóa
lock,unlocked,Is the <device_name> locked,No the <device_name> is currently unlocked,__Ph0__ có bị khóa không,Không có <device_name> hiện đang được mở khóa
garage_door,open,Is the <device_name> closed,No the <device_name> is currently open,__Ph0__ có đóng không,Không có <device_name> hiện đang mở
garage_door,closed,Is the <device_name> open,No the <device_name> is currently closed,__Ph0__ có mở không,Không có <device_name> hiện đang đóng cửa
blinds,open,Are the <device_name> closed,No the <device_name> are currently open,__Ph0__ có đóng không,Không có <device_name> hiện đang mở
blinds,closed,Are the <device_name> open,No the <device_name> are currently closed,__Ph0__ có mở không,Không có __ph0__ hiện đang đóng cửa
light,on,Uh can you check if the <device_name> is off,No the <device_name> is actually on,Uh bạn có thể kiểm tra xem __ph0__ có tắt không,Không có <device_name> thực sự là trên
light,off,Hey is the <device_name> shining,No the <device_name> is currently off,Này là __ph0__ tỏa sáng,Không có <device_name> hiện đang tắt
fan,on,Is the <device_name> taking a break,No the <device_name> is on right now,__Ph0__ có nghỉ không,Không có __ph0__ đang ở ngay bây giờ
fan,off,Is the <device_name> whirling away,No the <device_name> is off at the moment,Là __ph0__ quay cuồng,Không có <device_name> đang tắt vào lúc này
lock,unlocked,Is the <device_name> bolted,No the <device_name> is currently unlocked,__Ph0__ có được bắt vít không,Không có <device_name> hiện đang được mở khóa
lock,locked,Is the <device_name> free and clear,No the <device_name> is actually locked,__Ph0__ miễn phí và rõ ràng,Không có __ph0__ thực sự bị khóa
garage_door,open,Is the <device_name> shut,No the <device_name> is currently open,__Ph0__ có đóng không,Không có <device_name> hiện đang mở
garage_door,closed,Did we leave the <device_name> open,No the <device_name> is closed,Chúng ta đã để __ph0__ mở,Không đóng cửa <device_name>
blinds,open,Did we lower the <device_name>,No the <device_name> are actually open,Chúng ta đã hạ thấp __ph0__,Không có <device_name> thực sự mở
blinds,closed,Is the <device_name> pulled up,No the <device_name> are currently closed,__Ph0__ có bị kéo lên không,Không có __ph0__ hiện đang đóng cửa
media_player,on,Is the <device_name> off,No the <device_name> is currently on,Là __ph0__ tắt,Không có <device_name> hiện đang ở
media_player,off,Is the <device_name> playing,No the <device_name> is off right now,__Ph0__ có chơi không,Không có __ph0__ ngay bây giờ
media_player,idle,Is the <device_name> playing some music,No the <device_name> is idle at the moment,__Ph0__ có chơi một số nhạc không,Không có __ph0__ không hoạt động vào lúc này
media_player,playing,Is the <device_name> paused,No the <device_name> is actually playing,__Ph0__ có bị tạm dừng không,Không có __ph0__ thực sự đang chơi
media_player,paused,Is the <device_name> in standby,No the <device_name> is paused right now,Là __ph0__ ở chế độ chờ,Không có __ph0__ được tạm dừng ngay bây giờ
media_player,standby,Is the <device_name> playing,No the <device_name> is in standby,__Ph0__ có chơi không,Không có __ph0__ ở chế độ chờ
garage_door,opening,Is the <device_name> closing,No the <device_name> is currently opening,__Ph0__ có đóng không,Không có <device_name> hiện đang mở
garage_door,closing,Is the <device_name> opening,No the <device_name> is currently closing,Là <device_name> mở đầu,Không có <device_name> hiện đang đóng cửa
blinds,opening,Are the <device_name> closing,No the <device_name> are opening,__Ph0__ có đóng không,Không có <device_name> đang mở
blinds,closing,Are the <device_name> opening,No the <device_name> are closing,Là <device_name> mở đầu,Không có __ph0__ đang đóng
lock,unlocking,Is the <device_name> locking,No the <device_name> is unlocking,Là khóa <device_name>,Không có <device_name> đang mở khóa
lock,locking,Is the <device_name> unlocking,No the <device_name> is locking,__Ph0__ mở khóa có phải không,Không có __ph0__ đang khóa
lock,jammed,Is the <device_name> unlocked,No the <device_name> is jammed,__Ph0__ có được mở khóa không,Không có __ph0__ bị kẹt
light,on,Is the <device_name> dark,No the <device_name> is currently on,__Ph0__ có tối không,Không có <device_name> hiện đang ở
light,off,Is the <device_name> shining,No the <device_name> is off,__Ph0__ có tỏa sáng không,Không có <device_name> bị tắt
fan,on,Is the <device_name> idle,No the <device_name> is actually on,Là __ph0__ nhàn rỗi,Không có <device_name> thực sự là trên
fan,off,Is the <device_name> blowing air,No the <device_name> is off right now,__Ph0__ có thổi không khí không,Không có __ph0__ ngay bây giờ
lock,unlocked,Is the <device_name> secure,No the <device_name> is currently unlocked,__Ph0__ có an toàn không,Không có <device_name> hiện đang được mở khóa
lock,locked,Is the <device_name> open,No the <device_name> is locked,__Ph0__ có mở không,Không có __ph0__ bị khóa
lock,jammed,Is the <device_name> locking,No the <device_name> is jammed,Là khóa <device_name>,Không có __ph0__ bị kẹt
light,on,Is the <device_name> off,No the <device_name> is on,Là __ph0__ tắt,Không có <device_name> đang trên
light,off,Is the <device_name> active,No the <device_name> is off,__Ph0__ có hoạt động không,Không có <device_name> bị tắt
light,on,Is the <device_name> on or off,The <device_name> is on,__Ph0__ trên hoặc tắt là,<device_name> đang trên
light,off,Is the <device_name> on or off,The <device_name> is off,__Ph0__ trên hoặc tắt là,<device_name> bị tắt
fan,on,Is the <device_name> on or off,The <device_name> is on,__Ph0__ trên hoặc tắt là,<device_name> đang trên
fan,off,Is the <device_name> on or off,The <device_name> is off,__Ph0__ trên hoặc tắt là,<device_name> bị tắt
garage_door,open,Is the <device_name> open or closed,The <device_name> is open,__Ph0__ mở hoặc đóng,<device_name> đang mở
garage_door,closed,Is the <device_name> open or closed,The <device_name> is closed,__Ph0__ mở hoặc đóng,<device_name> được đóng
blinds,open,Are the <device_name> open or closed,The <device_name> are open,<device_name> mở hoặc đóng,<device_name> được mở
blinds,closed,Are the <device_name> open or closed,The <device_name> are closed,<device_name> mở hoặc đóng,<device_name> được đóng lại
media_player,on,Is the <device_name> on or off,The <device_name> is on,__Ph0__ trên hoặc tắt là,<device_name> đang trên
media_player,off,Is the <device_name> on or off,The <device_name> is off,__Ph0__ trên hoặc tắt là,<device_name> bị tắt
lock,unlocked,Is the <device_name> locked or unlocked,The <device_name> is unlocked,<device_name> bị khóa hoặc mở khóa,<device_name> được mở khóa
lock,locked,Is the <device_name> locked or unlocked,The <device_name> is locked,<device_name> bị khóa hoặc mở khóa,<device_name> bị khóa
media_player,playing,Is the <device_name> playing or paused,The <device_name> is playing,__Ph0__ chơi hoặc tạm dừng,<device_name> đang chơi
media_player,paused,Is the <device_name> playing or paused,The <device_name> is paused,__Ph0__ chơi hoặc tạm dừng,__Ph0__ bị tạm dừng
garage_door,opening,Is the <device_name> opening or closing,The <device_name> is opening,Là <device_name> mở hoặc đóng,<device_name> đang mở
garage_door,closing,Is the <device_name> opening or closing,The <device_name> is closing,Là <device_name> mở hoặc đóng,__Ph0__ đang đóng
blinds,opening,Are the <device_name> opening or closing,The <device_name> are opening,Là <device_name> mở hoặc đóng,<device_name> đang mở
blinds,closing,Are the <device_name> opening or closing,The <device_name> are closing,Là <device_name> mở hoặc đóng,<device_name> đang đóng
lock,unlocking,Is the <device_name> locking or unlocking,The <device_name> is unlocking,Là khóa <device_name> hoặc mở khóa,<device_name> đang mở khóa
lock,locking,Is the <device_name> locking or unlocking,The <device_name> is locking,Là khóa <device_name> hoặc mở khóa,__Ph0__ đang khóa
lock,jammed,Is the <device_name> locked or jammed,The <device_name> is jammed,__Ph0__ bị khóa hoặc bị kẹt,__Ph0__ bị kẹt
media_player,idle,Is the <device_name> idle or in standby,The <device_name> is idle,Là __ph0__ nhàn rỗi hoặc ở chế độ chờ,<device_name> không hoạt động
media_player,standby,Is the <device_name> idle or in standby,The <device_name> is in standby,Là __ph0__ nhàn rỗi hoặc ở chế độ chờ,<device_name> ở chế độ chờ
light,on,Is the <device_name> on or dim,The <device_name> is on,Là __ph0__ trên hoặc mờ,<device_name> đang trên
light,off,Is the <device_name> on or dim,The <device_name> is off,Là __ph0__ trên hoặc mờ,<device_name> bị tắt
fan,on,Is the <device_name> spinning or still,The <device_name> is spinning,Là <device_name> quay hay vẫn còn,__Ph0__ đang quay
fan,off,Is the <device_name> spinning or still,The <device_name> is still,Là <device_name> quay hay vẫn còn,<device_name> vẫn còn
lock,unlocked,Is the <device_name> secure or unsecure,The <device_name> is unsecure,__Ph0__ an toàn hoặc không an toàn,<device_name> không an toàn
