device_type,service,english_phrase,multiplier,english_phrase_vi
blinds,close,Close the <device_name>,1,Đóng <device_name>
blinds,close,Lower the <device_name>,1,Hạ <device_name>
blinds,close,Shut the <device_name>,1,Tắt <device_name>
blinds,open,Lift the <device_name> blinds,1,Nâng rèm <device_name>
blinds,open,Open the <device_name>,1,Mở <device_name>
blinds,open,Raise the <device_name>,1,Nâng cao <device_name>
blinds,stop,Freeze the <device_name>,1,Đóng băng <device_name>
blinds,stop,Halt the <device_name>,1,Dừng <device_name>
blinds,stop,Stop the <device_name>,1,Dừng <device_name>
blinds,toggle,Flip the <device_name> state,1,Lật trạng thái <device_name>
blinds,toggle,Switch the <device_name> state,1,Chuyển trạng thái <device_name>
blinds,toggle,Toggle the <device_name>,1,Chuyển đổi <device_name>
blinds|fan,close|turn_off,Close <device_name1> and deactivate <device_name2>,1,Đóng <device_name1> và vô hiệu hóa <device_name2>
blinds|fan,open|increase_speed,Raise the <device_name1> and speed up the <device_name2>,1,Nâng <device_name1> và tăng tốc <device_name2>
blinds|light,open|turn_on,Raise <device_name1> and activate <device_name2>,1,Nâng <device_name1> và kích hoạt <device_name2>
fan,decrease_speed,Decrease the <device_name> speed,1,Giảm tốc độ <device_name>
fan,decrease_speed,Lower the <device_name> speed,1,Hạ tốc độ <device_name>
fan,decrease_speed,Slow down the <device_name>,1,Làm chậm <device_name>
fan,increase_speed,Increase the <device_name> speed,1,Tăng tốc độ <device_name>
fan,increase_speed,Ramp up the <device_name> speed,1,Tăng tốc độ <device_name>
fan,increase_speed,Speed up the <device_name>,1,Tăng tốc <device_name>
fan,toggle,Flip the <device_name> on or off,1,Bật hoặc tắt <device_name>
fan,toggle,Switch the <device_name> state,1,Chuyển trạng thái <device_name>
fan,toggle,Toggle the <device_name>,1,Chuyển đổi <device_name>
fan,turn_off,Deactivate the <device_name>,1,Vô hiệu hóa <device_name>
fan,turn_off,Stop the <device_name> please,1,Xin hãy dừng <device_name>
fan,turn_off,Turn off the <device_name>,1,Tắt <device_name>
fan,turn_on,Activate the <device_name>,1,Kích hoạt <device_name>
fan,turn_on,Please start the <device_name>,1,Vui lòng bắt đầu <device_name>
fan,turn_on,Turn on the <device_name>,1,Bật <device_name>
fan|blinds,turn_off|open,Turn off <device_name1> and open <device_name2>,1,Tắt <device_name1> và mở <device_name2>
fan|blinds|garage_door,increase_speed|open|open,Speed up <device_name1> open <device_name2> and <device_name3>,1,Tăng tốc <device_name1> Mở <device_name2> và <device_name3>
fan|blinds|light,decrease_speed|open|turn_off,Slow down <device_name1> open <device_name2> and turn off <device_name3>,1,Làm chậm <device_name1> Mở <device_name2> và tắt <device_name3>
fan|blinds|light,turn_off|close|turn_on,Turn off <device_name1> close <device_name2> and turn on <device_name3>,1,Tắt <device_name1> Đóng <device_name2> và bật <device_name3>
fan|fan,increase_speed|decrease_speed,Speed up <device_name1> and slow down <device_name2>,1,Tăng tốc <device_name1> và làm chậm <device_name2>
fan|fan,turn_on|turn_off,Turn on <device_name1> and turn off <device_name2>,1,Bật <device_name1> và tắt <device_name2>
fan|garage_door,increase_speed|close,Increase speed of <device_name1> and close <device_name2>,1,Tăng tốc độ <device_name1> và đóng <device_name2>
fan|garage_door|blinds,increase_speed|close|open,Speed up <device_name1> close <device_name2> and open <device_name3>,1,Tăng tốc <device_name1> Đóng <device_name2> và mở <device_name3>
fan|garage_door|blinds,turn_on|close|close,Turn on <device_name1> close <device_name2> and <device_name3>,1,Bật <device_name1> Đóng <device_name2> và <device_name3>
fan|garage_door|light,turn_off|close|turn_off,Turn off <device_name1> and <device_name3> and close <device_name2>,1,Tắt <device_name1> và <device_name3> và đóng <device_name2>
fan|garage_door|lock,turn_off|close|lock,Turn off <device_name1> close <device_name2> and lock <device_name3>,1,Tắt <device_name1> Đóng <device_name2> và khóa <device_name3>
fan|garage_door|lock,turn_on|open|unlock,Turn on <device_name1> open <device_name2> and unlock <device_name3>,1,Bật <device_name1> Mở <device_name2> và mở khóa <device_name3>
fan|light,turn_on|turn_off,Activate <device_name1> and deactivate <device_name2>,1,Kích hoạt <device_name1> và vô hiệu hóa <device_name2>
