device_type,state,english_phrase,assistant_response,english_phrase_vi,assistant_response_vi
light,on,Is the <device_name> on,The <device_name> is currently on,Là người giữ chỗ_0 trên,Người giữ chỗ_0 hiện đang ở
light,on,Can you tell me the status of the <device_name>,The <device_name> is on,Bạn có thể cho tôi biết trạng thái của người giữ chỗ_0,Người giữ chỗ_0 đang ở
light,off,What is the <device_name> doing,The <device_name> is off,Người giữ chỗ đang làm gì,Người giữ chỗ_0 đã tắt
light,off,Is the <device_name> off,The <device_name> is currently off,Là người giữ chỗ_0 tắt,Người giữ chỗ_0 hiện đang tắt
fan,on,Is the <device_name> on,The <device_name> is currently on,Là người giữ chỗ_0 trên,Người giữ chỗ_0 hiện đang ở
fan,on,Can you check if the <device_name> is working,The <device_name> is on,Bạn có thể kiểm tra xem người giữ chỗ_0 có hoạt động không,Người giữ chỗ_0 đang ở
fan,off,Is the <device_name> off,The <device_name> is currently off,Là người giữ chỗ_0 tắt,Người giữ chỗ_0 hiện đang tắt
fan,off,What is the current status of the <device_name>,The <device_name> is off,Trạng thái hiện tại của trình giữ chỗ_0 là gì,Người giữ chỗ_0 đã tắt
garage_door,open,Is the <device_name> open,The <device_name> is currently open,Người giữ chỗ có mở không,Người giữ chỗ_0 hiện đang mở
garage_door,open,Can you tell me if the <device_name> is open,The <device_name> is open,Bạn có thể cho tôi biết nếu người giữ chỗ_0 mở không,Người giữ chỗ_0 đang mở
garage_door,closed,Is the <device_name> closed,The <device_name> is currently closed,Người giữ chỗ có bị đóng không,Người giữ chỗ_0 hiện đang đóng cửa
garage_door,closed,What's the status of the <device_name>,The <device_name> is closed,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 đã đóng
garage_door,opening,Is the <device_name> opening,The <device_name> is currently opening,Là người giữ chỗ_0 mở ra,Người giữ chỗ_0 hiện đang mở
garage_door,opening,What is the <device_name> doing,The <device_name> is opening,Người giữ chỗ đang làm gì,Người giữ chỗ_0 đang mở
garage_door,closing,Is the <device_name> closing,The <device_name> is currently closing,Là người giữ chỗ_0 đóng cửa,Người giữ chỗ_0 hiện đang đóng cửa
garage_door,closing,Can you tell me if the <device_name> is closing,The <device_name> is closing,Bạn có thể cho tôi biết nếu người giữ chỗ_0 đang đóng,Người giữ chỗ_0 đang đóng cửa
blinds,open,Are the <device_name> open,The <device_name> are currently open,Người giữ chỗ có mở không,Người giữ chỗ_0 hiện đang mở
blinds,open,What's the status of the <device_name>,The <device_name> are open,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 đang mở
blinds,closed,Are the <device_name> closed,The <device_name> are currently closed,Người giữ chỗ có bị đóng không,Người giữ chỗ_0 hiện đang đóng cửa
blinds,closed,Can you check if the <device_name> are closed,The <device_name> are closed,Bạn có thể kiểm tra xem người giữ chỗ_0 có bị đóng không,Người giữ chỗ_0 đã đóng cửa
blinds,opening,Are the <device_name> opening,The <device_name> are currently opening,Là người giữ chỗ_0 mở đầu,Người giữ chỗ_0 hiện đang mở
blinds,opening,What is the <device_name> doing,The <device_name> are opening,Người giữ chỗ đang làm gì,Người giữ chỗ_0 đang mở
blinds,closing,Are the <device_name> closing,The <device_name> are currently closing,Có phải người giữ chỗ_0 đóng không,Người giữ chỗ_0 hiện đang đóng cửa
blinds,closing,What's the status of the <device_name>,The <device_name> are closing,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 đang đóng
media_player,on,Is the <device_name> on,The <device_name> is currently on,Là người giữ chỗ_0 trên,Người giữ chỗ_0 hiện đang ở
media_player,on,What's the current status of the <device_name>,The <device_name> is on,Trạng thái hiện tại của trình giữ chỗ_0 là gì,Người giữ chỗ_0 đang ở
media_player,off,Is the <device_name> off,The <device_name> is currently off,Là người giữ chỗ_0 tắt,Người giữ chỗ_0 hiện đang tắt
media_player,off,Can you tell me if the <device_name> is off,The <device_name> is off,Bạn có thể cho tôi biết nếu người giữ chỗ_0 không,Người giữ chỗ_0 đã tắt
media_player,idle,What's the <device_name> doing,The <device_name> is idle,Người giữ chỗ_0 đang làm gì,Người giữ chỗ_0 không hoạt động
media_player,idle,Is the <device_name> idle,The <device_name> is currently idle,Người giữ chỗ có nhàn rỗi không,Người giữ chỗ_0 hiện đang nhàn rỗi
media_player,playing,Is the <device_name> playing,The <device_name> is currently playing,Placeholder_0 có chơi không,Người giữ chỗ_0 hiện đang chơi
media_player,playing,Can you tell me if the <device_name> is playing,The <device_name> is playing,Bạn có thể cho tôi biết nếu người giữ chỗ_0 đang chơi,Người giữ chỗ_0 đang chơi
media_player,paused,What's the status of the <device_name>,The <device_name> is paused,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 bị tạm dừng
media_player,paused,Is the <device_name> paused,The <device_name> is currently paused,Người giữ chỗ_0 có bị tạm dừng không,Người giữ chỗ_0 hiện đang bị tạm dừng
media_player,standby,What is the <device_name> doing,The <device_name> is in standby,Người giữ chỗ đang làm gì,Người giữ chỗ_0 đang ở chế độ chờ
media_player,standby,Is the <device_name> in standby,The <device_name> is currently in standby,Là người giữ chỗ_0 ở chế độ chờ,Người giữ chỗ_0 hiện đang ở chế độ chờ
lock,unlocked,Is the <device_name> unlocked,The <device_name> is currently unlocked,Người giữ chỗ có được mở khóa không,Người giữ chỗ_0 hiện đang được mở khóa
lock,unlocked,What's the status of the <device_name>,The <device_name> is unlocked,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 được mở khóa
lock,locked,Is the <device_name> locked,The <device_name> is currently locked,Người giữ chỗ_0 có bị khóa không,Người giữ chỗ_0 hiện đang bị khóa
lock,locked,Can you tell me if the <device_name> is locked,The <device_name> is locked,Bạn có thể cho tôi biết nếu người giữ chỗ_0 bị khóa không,Người giữ chỗ_0 bị khóa
lock,unlocking,What is the <device_name> doing,The <device_name> is unlocking,Người giữ chỗ đang làm gì,Người giữ chỗ_0 đang mở khóa
lock,unlocking,Is the <device_name> unlocking,The <device_name> is currently unlocking,Là trình giữ chỗ_0 mở khóa,Người giữ chỗ_0 hiện đang mở khóa
lock,locking,Is the <device_name> locking,The <device_name> is currently locking,Là khóa giữ chỗ_0 có khóa không,Người giữ chỗ_0 hiện đang khóa
lock,locking,What's the status of the <device_name>,The <device_name> is locking,Tình trạng của người giữ chỗ_0 là gì,Người giữ chỗ_0 đang khóa
lock,jammed,What is the <device_name> doing,The <device_name> is jammed,Người giữ chỗ đang làm gì,Người giữ chỗ_0 bị kẹt
lock,jammed,Is the <device_name> jammed,The <device_name> is currently jammed,Là người giữ chỗ_0 bị kẹt,Người giữ chỗ_0 hiện đang bị kẹt
light,on,Is the <device_name> active,The <device_name> is currently on,Placeholder_0 có hoạt động không,Người giữ chỗ_0 hiện đang ở
light,on,Is the <device_name> powered,The <device_name> is on,Người giữ chỗ có được cấp nguồn không,Người giữ chỗ_0 đang ở
light,off,Is the <device_name> deactivated,The <device_name> is currently off,Người giữ chỗ_0 có bị hủy kích hoạt không,Người giữ chỗ_0 hiện đang tắt
fan,on,Is the <device_name> spinning,The <device_name> is currently on,Là người giữ chỗ_0 quay,Người giữ chỗ_0 hiện đang ở
fan,on,Is the <device_name> blowing air,The <device_name> is on,Là người giữ chỗ_0 thổi không khí,Người giữ chỗ_0 đang ở
fan,off,Is the <device_name> idle,The <device_name> is currently off,Người giữ chỗ có nhàn rỗi không,Người giữ chỗ_0 hiện đang tắt
fan,off,Is the <device_name> still,The <device_name> is off,Người giữ chỗ có còn không,Người giữ chỗ_0 đã tắt
lock,unlocked,Is the <device_name> open,The <device_name> is currently unlocked,Người giữ chỗ có mở không,Người giữ chỗ_0 hiện đang được mở khóa
lock,unlocked,Is the <device_name> unsecured,The <device_name> is unlocked,Là người giữ chỗ 0 không bị kiểm duyệt,Người giữ chỗ_0 được mở khóa
lock,locked,Is the <device_name> secure,The <device_name> is currently locked,Người giữ chỗ có an toàn không,Người giữ chỗ_0 hiện đang bị khóa
lock,locked,Is the <device_name> sealed,The <device_name> is locked,Người giữ chỗ có được niêm phong không,Người giữ chỗ_0 bị khóa
garage_door,open,Is the <device_name> unsealed,The <device_name> is currently open,Là người giữ chỗ_0 chưa được tiết lộ,Người giữ chỗ_0 hiện đang mở
garage_door,closed,Is the <device_name> shut,The <device_name> is currently closed,Người giữ chỗ_0 có đóng không,Người giữ chỗ_0 hiện đang đóng cửa
blinds,open,Is the <device_name> pulled up,The <device_name> are currently open,Là người giữ chỗ_0 được kéo lên,Người giữ chỗ_0 hiện đang mở
blinds,closed,Is the <device_name> pulled down,The <device_name> are currently closed,Là người giữ chỗ_0 bị kéo xuống,Người giữ chỗ_0 hiện đang đóng cửa
light,on,Is the <device_name> lit,The <device_name> is currently on,Người giữ chỗ có sáng không,Người giữ chỗ_0 hiện đang ở
light,off,Is the <device_name> turned off,Yes <device_name> is off,Có phải người giữ chỗ_0 đã tắt không,Có giữ chỗ_0 bị tắt
light,on,Uh can you check if the <device_name> is on or something,The <device_name> is currently on,Uh bạn có thể kiểm tra xem người giữ chỗ_0 có bật hay gì đó không,Người giữ chỗ_0 hiện đang ở
light,off,Hey what's up with the <device_name> is it off,The <device_name> is currently off,"Này, có chuyện gì với trình giữ chỗ_0",Người giữ chỗ_0 hiện đang tắt
fan,on,So is the <device_name> whirling away,The <device_name> is indeed on,Người giữ chỗ đó cũng như vậy,Người giữ chỗ_0 thực sự là trên
fan,off,Any idea if the <device_name> is off,The <device_name> is currently off,Bất kỳ ý tưởng nào nếu trình giữ chỗ_0 tắt,Người giữ chỗ_0 hiện đang tắt
lock,unlocked,Hey is the <device_name> unlocked or what,The <device_name> is currently unlocked,Này là người giữ chỗ_0 đã mở khóa hay sao,Người giữ chỗ_0 hiện đang được mở khóa
lock,locked,Can you tell me if the <device_name> is all locked up,The <device_name> is indeed locked,Bạn có thể cho tôi biết nếu người giữ chỗ_0 bị khóa,Người giữ chỗ_0 thực sự bị khóa
garage_door,open,Hey did we leave the <device_name> open,Yes the <device_name> is currently open,"Này, chúng tôi đã để chỗ giữ chỗ_0 mở","Có, người giữ chỗ_0 hiện đang mở"
garage_door,closed,Is the <device_name> actually closed,The <device_name> is indeed closed,Người giữ chỗ có thực sự đóng không,Người giữ chỗ_0 thực sự đã đóng
blinds,open,Are the <device_name> up or what,The <device_name> are currently open,Là người giữ chỗ_0 lên hay sao,Người giữ chỗ_0 hiện đang mở
blinds,closed,So did we lower the <device_name>,The <device_name> are indeed closed,Chúng tôi cũng hạ thấp chỗ giữ chỗ_0,Người giữ chỗ_0 thực sự đã đóng
light,on,Hey is the <device_name> shining,The <device_name> is currently on,Này là người giữ chỗ_0 tỏa sáng,Người giữ chỗ_0 hiện đang ở
light,off,Uh is the <device_name> off,The <device_name> is indeed off,Uh là người giữ chỗ_0 tắt,Người giữ chỗ_0 thực sự bị tắt
fan,on,Can you confirm if the <device_name> is running,The <device_name> is currently on,Bạn có thể xác nhận nếu lobersholder_0 đang chạy,Người giữ chỗ_0 hiện đang ở
fan,off,Is the <device_name> taking a break,The <device_name> is off at the moment,Là người giữ chỗ_0 đang nghỉ ngơi,Người giữ chỗ_0 đã tắt vào lúc này
lock,unlocked,So is the <device_name> open,The <device_name> is currently unlocked,Các loberholder_0 cũng mở,Người giữ chỗ_0 hiện đang được mở khóa
lock,locked,Is the <device_name> bolted,The <device_name> is indeed locked,Người giữ chỗ có bị bắt vít không,Người giữ chỗ_0 thực sự bị khóa
light,on,Is the <device_name> off,Actually the <device_name> is currently on,Là người giữ chỗ_0 tắt,"Trên thực tế, giữ chỗ_0 hiện đang ở"
